X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,hidden,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,health_amenity_type,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type,tag
,,556311528,way,30,,clinic,general,Ayeduase Road,Government of Ghana,,108376224,,,,025658cb258147eca7cdb1cfeb9ec0ce,,24/7,,,,0,2,,2021/07/21 16:23:30,,,,Ayeduase,Ayeduase Health Centre,,Adababu Godswill,,,,,clinic,public,
-0.134625560132832,5.63230286069677,6825058462,node,15,,pharmacy,,,,,90141390,,,,34ed08fa2cb3423d8ad0f13fccd3c4b9,,,,,,0,2,,2020/08/30 10:36:31,,,,,BrainTree,,Enock4seth,,,,yes,pharmacy,,
-0.252688857283374,6.09887948919368,6304073822,node,9,,pharmacy,,,,,67590764,,,,faa9108effd94da99abec2c21a7b5fe3,,,,,,0,1,,2019/02/26 17:50:19,,,,,Gabson Pharmacy,,EricKay,,,,,,,
-2.00546090022416,5.28399337723559,5515602856,node,9,,pharmacy,,,,,57714819,,,,f590b5948249440c8fff69c1e75773d8,,,,,,0,2,,2018/04/01 15:19:29,,,,,Health Spring Pharmacy,,Enock4seth,,,,,,,
,,614772758,way,12,,hospital,,,,,86485372,,,,09caf27badda43509d3720ebc8feac80,,,,,,0,6,,2020/06/10 22:10:43,,,,,Clinic,,RCD49,,,,,hospital,,
,,787082375,way,15,,hospital,,,,,82968629,,,,9b0a990cc7c64b35b99a21c335e99a45,,,,user note,,0,1,,2020/04/02 09:25:56,,,,,Wassa Akropong District Hospital,,Jcasas1,,,,,hospital,,
-1.24454770681902,5.11099776889483,6532565401,node,12,,pharmacy,,,,,71035010,,,,6d7e149d59b84b81b23686ca190f60af,,,,,,0,1,,2019/06/07 18:46:13,,,,,Bucee Phamarcy,,pkodame,limited,,,,,,
,,786941878,way,15,,hospital,,,Government,,82942722,,,,6752601df31e48d48cff9f2889758b38,,,,,,0,1,,2020/04/01 19:55:26,,,,,Ayiresu Chip Compound,,Jcasas1,,,,,hospital,,
-1.396060413507,6.85033764436201,4594011197,node,9,,pharmacy,,,,,44974558,,,,d69830fe010f4714afa4d897d7fa646b,,,,,,0,1,,2017/01/07 09:12:57,,,,,Agnes Boateng,,fremekeke km,,,,,,,
,,786159141,way,15,,hospital,,Bonn Street,,,82864177,,,,dfa8a0a9a952406dbc8bd3c963e2a60b,,,,,,0,1,,2020/03/31 09:43:49,,,,,Cape Coast District Hospital,,Jcasas1,,,,,hospital,,
-0.130080724594109,5.60801277585219,7640382185,node,9,,pharmacy,,,,,86937717,,,,394d155b544f4295ab6810b89376e8e7,,,,,,0,1,,2020/06/21 15:07:13,,,,,Linah Asante,,mawutor,,,,,,,
-1.77654684978486,4.9170357517749,7745167712,node,9,,pharmacy,,,,,88474388,,,,dbaa4f7a7b2343b68a76beeedf59d3e8,,,,,,0,1,,2020/07/24 19:30:44,,,,,ATM Pharmacy,,pkodame,,,,,,,
,,791233744,way,9,,pharmacy,,,,,85153622,,,,0c98f46cb99f45e7acb0cf55cfbe042a,,,,,,0,2,,2020/05/13 15:36:57,,,,,Menri Pharmacy,,magma18,,,,,,,
-2.32209877581101,6.19593924573397,7606543531,node,24,,pharmacy,,,,,87472967,,,+233 24 451 1696,764ccb7cacd64496a13d2676d384f6f5,,Mo-Su 07:00-22:00,,,,0,3,,2020/07/02 22:58:49,,,,,Excora Pharmacy,,Adababu Godswill,yes,,,yes,pharmacy,,
