X,Y,osm_id,osm_type,completeness,amenity,addr_street,operator,changeset_id,staff_doctors,contact_number,uuid,opening_hours,source,changeset_version,emergency,changeset_timestamp,health_amenity_type,addr_city,name,changeset_user,healthcare,operator_type,tag
,,556311528,way,30,clinic,Ayeduase Road,Government of Ghana,108376224,,,025658cb258147eca7cdb1cfeb9ec0ce,24-Jul,,2,,21/07/2021 16:23,,Ayeduase,Ayeduase Health Centre,Adababu Godswill,clinic,public,
-0.13462556,5.632302861,6825058462,node,15,pharmacy,,,90141390,,,34ed08fa2cb3423d8ad0f13fccd3c4b9,,,2,,30/08/2020 10:36,,,BrainTree,Enock4seth,pharmacy,,
-0.252688857,6.098879489,6304073822,node,9,pharmacy,,,67590764,,,faa9108effd94da99abec2c21a7b5fe3,,,1,,26/02/2019 17:50,,,Gabson Pharmacy,EricKay,,,
-2.0054609,5.283993377,5515602856,node,9,pharmacy,,,57714819,,,f590b5948249440c8fff69c1e75773d8,,,2,,01/04/2018 15:19,,,Health Spring Pharmacy,Enock4seth,,,
,,614772758,way,12,hospital,,,86485372,,,09caf27badda43509d3720ebc8feac80,,,6,,10/06/2020 22:10,,,Clinic,RCD49,hospital,,
,,787082375,way,15,hospital,,,82968629,,,9b0a990cc7c64b35b99a21c335e99a45,,user note,1,,02/04/2020 9:25,,,Wassa Akropong District Hospital,Jcasas1,hospital,,
-1.244547707,5.110997769,6532565401,node,12,pharmacy,,,71035010,,,6d7e149d59b84b81b23686ca190f60af,,,1,,07/06/2019 18:46,,,Bucee Phamarcy,pkodame,,,
,,786941878,way,15,hospital,,Government,82942722,,,6752601df31e48d48cff9f2889758b38,,,1,,01/04/2020 19:55,,,Ayiresu Chip Compound,Jcasas1,hospital,,
-1.396060414,6.850337644,4594011197,node,9,pharmacy,,,44974558,,,d69830fe010f4714afa4d897d7fa646b,,,1,,07/01/2017 9:12,,,Agnes Boateng,fremekeke km,,,
,,786159141,way,15,hospital,Bonn Street,,82864177,,,dfa8a0a9a952406dbc8bd3c963e2a60b,,,1,,31/03/2020 9:43,,,Cape Coast District Hospital,Jcasas1,hospital,,
-0.130080725,5.608012776,7640382185,node,9,pharmacy,,,86937717,,,394d155b544f4295ab6810b89376e8e7,,,1,,21/06/2020 15:07,,,Linah Asante,mawutor,,,
-1.77654685,4.917035752,7745167712,node,9,pharmacy,,,88474388,,,dbaa4f7a7b2343b68a76beeedf59d3e8,,,1,,24/07/2020 19:30,,,ATM Pharmacy,pkodame,,,
,,791233744,way,9,pharmacy,,,85153622,,,0c98f46cb99f45e7acb0cf55cfbe042a,,,2,,13/05/2020 15:36,,,Menri Pharmacy,magma18,,,
-2.322098776,6.195939246,7606543531,node,24,pharmacy,,,87472967,,+233 24 451 1696,764ccb7cacd64496a13d2676d384f6f5,Mo-Su 07:00-22:00,,3,,02/07/2020 22:58,,,Excora Pharmacy,Adababu Godswill,pharmacy,,
-0.192382573,5.616734481,1426161179,node,9,doctors,,,11174216,,,d0dfcbf7943d40d3bcfecbdcb81bc187,,,2,,04/04/2012 9:43,,,OMNI Healthcare,GO_OSM,,,
-2.776658437,5.062640558,7600226974,node,12,pharmacy,,,86311418,,,ca7f79ff49aa4715aaf730744c330cae,,,1,,07/06/2020 15:26,,,,dr ray,pharmacy,,
-0.244404603,5.609001589,6290813212,node,30,pharmacy,Abetei Street,private_profit,67385378,,,9532c35138b940ca89f68a4615cdcaa6,Mo-Su 09:00-21:00,Open Cities Accra - Field Survey,1,no,20/02/2019 10:14,,Accra,Nikos Pharmacy,Michris,,,
,,787180230,way,12,hospital,,,82988344,,,92ffef778b384057aed6fb2e09314cef,,,1,,02/04/2020 15:11,,,St. Anthony's Hospital,Jcasas1,hospital,,
,,731987365,way,12,clinic,,,75328748,,,9573be46a8ab4234ad8735708ceab7b5,,,1,,05/10/2019 21:52,,,Presby Clinic,mfbehrens99,clinic,,
,,786943766,way,12,hospital,,,82942945,,,f85e64ae20234be397dc3335db7ed5a1,,,1,,01/04/2020 20:03,,,International Homeopatic Clinic,Jcasas1,hospital,,
,,229345768,way,9,hospital,,,79394249,,,03178984b8be45778a692573f0a19009,,,2,,09/01/2020 21:59,,,,mfbehrens99,hospital,,
-0.846113939,9.462636055,7119881704,node,9,pharmacy,,,79394249,,,22208f1a26fa447f8ca2e2a2502408d8,,,2,,09/01/2020 21:59,,,,mfbehrens99,pharmacy,,
-0.181968058,5.577492087,6869905697,node,9,pharmacy,,,75559678,,,93b4f7a7a6444ce398e1ef918bb85efd,,,1,,11/10/2019 11:25,,,Axis Pharmacy,Enock4seth,,,
,,787124186,way,15,hospital,,Government,82979669,,,bfd158e8770e4d249933b2384e3d0c05,,,1,,02/04/2020 12:08,,,Bekwai Matenity,Jcasas1,hospital,,
,,562002740,way,15,pharmacy,,,72765287,,,b67cd51ab48a473a87916e6a6f82ce5d,,,2,,29/07/2019 11:15,,,Fast Chemical Shop,ickwmss,pharmacy,,
-2.517512455,6.805023148,6373951542,node,12,pharmacy,Kofi Solo Avenue,,69180424,,,68bb2b4439a94891bb3bfb89a63bb03b,,,2,,13/04/2019 15:34,,,Mabel Akyaa Waye,magma18,,,
-1.27562772,5.130748718,6508003152,node,12,clinic,,,79089814,,,fa9ee8701b6c472aa08498b0ad8bbc7d,Mo-Sa 08:00-22:00,,2,,01/01/2020 19:31,,,DIS Clinic,pkodame,,,
